Date,Origin Movement ID,Destination Movement ID,AM Mean Travel Time (Seconds),PM Mean Travel Time (Seconds),Midday Mean Travel Time (Seconds),Evening Mean Travel Time (Seconds),Early Morning Mean Travel Time (Seconds)
04/18/2019,517.0,364.0,1736.0,1693.0,1970.0,1437.0,1009.0
04/19/2019,517.0,364.0,1013.0,1372.0,1330.0,1256.0,1003.0
04/20/2019,517.0,364.0,1040.0,1565.0,1306.0,1280.0,917.0
04/21/2019,517.0,364.0,923.0,1380.0,1154.0,1140.0,1014.0
04/22/2019,517.0,364.0,912.0,1199.0,1159.0,1203.0,928.0
04/23/2019,517.0,364.0,1694.0,1660.0,1713.0,1262.0,964.0
04/24/2019,517.0,364.0,1650.0,1552.0,1895.0,1119.0,846.0
04/25/2019,517.0,364.0,1845.0,1766.0,1761.0,1478.0,920.0
04/26/2019,517.0,364.0,1743.0,1711.0,1721.0,1248.0,1030.0
04/27/2019,517.0,364.0,1193.0,1560.0,1566.0,1281.0,991.0
04/28/2019,517.0,364.0,997.0,1379.0,1307.0,1154.0,981.0
04/29/2019,517.0,364.0,1550.0,1409.0,1561.0,1155.0,938.0
04/30/2019,517.0,364.0,1612.0,1644.0,1839.0,1134.0,804.0
05/01/2019,517.0,364.0,1578.0,1612.0,1800.0,1234.0,850.0
05/02/2019,517.0,364.0,1610.0,1678.0,1865.0,1338.0,857.0
05/03/2019,517.0,364.0,1641.0,1713.0,1667.0,1261.0,899.0
05/04/2019,517.0,364.0,979.0,1443.0,1385.0,1206.0,933.0
05/05/2019,517.0,364.0,971.0,1387.0,1210.0,1032.0,910.0
05/06/2019,517.0,364.0,923.0,1161.0,1075.0,1058.0,912.0
05/07/2019,517.0,364.0,1419.0,1399.0,1603.0,1003.0,870.0
05/08/2019,517.0,364.0,1674.0,1699.0,1953.0,1094.0,881.0
05/09/2019,517.0,364.0,1511.0,1840.0,1711.0,1204.0,930.0
05/10/2019,517.0,364.0,1588.0,1508.0,1709.0,1165.0,908.0
05/11/2019,517.0,364.0,1092.0,1485.0,1511.0,1148.0,947.0
05/12/2019,517.0,364.0,923.0,1252.0,1291.0,1015.0,919.0
05/13/2019,517.0,364.0,1604.0,1411.0,1606.0,1078.0,835.0
05/14/2019,517.0,364.0,1623.0,1629.0,1615.0,1163.0,801.0
05/15/2019,517.0,364.0,1725.0,1832.0,2082.0,1392.0,898.0
05/16/2019,517.0,364.0,2173.0,2313.0,2193.0,1258.0,954.0
05/17/2019,517.0,364.0,1906.0,1551.0,1689.0,1188.0,958.0
05/18/2019,517.0,364.0,919.0,1405.0,1290.0,1123.0,945.0
05/19/2019,517.0,364.0,865.0,1297.0,1217.0,1044.0,1012.0
05/20/2019,517.0,364.0,1607.0,1432.0,1622.0,1063.0,813.0
05/21/2019,517.0,364.0,1472.0,1514.0,1841.0,1099.0,939.0
05/22/2019,517.0,364.0,1661.0,1755.0,1909.0,1236.0,869.0
05/23/2019,517.0,364.0,1729.0,1866.0,2157.0,1273.0,892.0
05/24/2019,517.0,364.0,1816.0,1537.0,1773.0,1227.0,921.0
05/25/2019,517.0,364.0,1012.0,1312.0,1314.0,1092.0,910.0
05/26/2019,517.0,364.0,904.0,1277.0,1265.0,1061.0,905.0
